Best Picture,The Shape of Water
Best Actress,Frances McDormand
Best Actor,Gary Oldman
Best Supporting Actress,Allison Janney
Best Supporting Actor,Sam Rockwell
Best Original Screenplay,Get Out
Best Adapted Screenplay,Call Me by Your Name
Best Animated Feature Film,Coco
Best Foreign Language Film,A Fantastic Woman
Best Documentary - Feature,Icarus
Best Documentary - Short Subject,Heaven Is a Traffic Jam on the 405
Best Live Action Short Film,The Silent Child
Best Animated Short Film,Dear Basketball
Best Original Score,The Shape of Water
Best Original Song,Remember Me
Best Sound Editing,Dunkirk
Best Sound Mixing,Dunkirk
Best Production Design,The Shape of Water
Best Cinematography,Blade Runner 2049
Best Makeup and Hairstyling,Darkest Hour
Best Costume Design,Phantom Thread
Best Film Editing,Dunkirk
Best Visual Effects,Blade Runner 2049
