ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
00A,heliport,Total Rf Heliport,40.07080078,-74.93360138,11,NA,US,US-PA,Bensalem,00A,,00A
00AK,small_airport,Lowell Field,59.94919968,-151.6959991,450,NA,US,US-AK,Anchor Point,00AK,,00AK
00AL,small_airport,Epps Airpark,34.8647995,-86.77030182,820,NA,US,US-AL,Harvest,00AL,,00AL
00AR,heliport,Newport Hospital & Clinic Heliport,35.6086998,-91.25489807,237,NA,US,US-AR,Newport,00AR,,00AR
00AZ,small_airport,Cordes Airport,34.30559921,-112.1650009,3810,NA,US,US-AZ,Cordes,00AZ,,00AZ
00CA,small_airport,Goldstone /Gts/ Airport,35.3504982,-116.8880005,3038,NA,US,US-CA,Barstow,00CA,,00CA
00CO,small_airport,Cass Field,40.62220001,-104.3440018,4830,NA,US,US-CO,Briggsdale,00CO,,00CO
00FA,small_airport,Grass Patch Airport,28.64550018,-82.21900177,53,NA,US,US-FL,Bushnell,00FA,,00FA
00FD,heliport,Ringhaver Heliport,28.84659958,-82.34539795,25,NA,US,US-FL,Riverview,00FD,,00FD
00FL,small_airport,River Oak Airport,27.23089981,-80.96920013,35,NA,US,US-FL,Okeechobee,00FL,,00FL
00GA,small_airport,Lt World Airport,33.76750183,-84.06829834,700,NA,US,US-GA,Lithonia,00GA,,00GA
00GE,heliport,Caffrey Heliport,33.88420105,-84.73390198,957,NA,US,US-GA,Hiram,00GE,,00GE
00HI,heliport,Kaupulehu Heliport,19.83250046,-155.9819946,43,NA,US,US-HI,Kailua/Kona,00HI,,00HI
00ID,small_airport,Delta Shores Airport,48.14530182,-116.2139969,2064,NA,US,US-ID,Clark Fork,00ID,,00ID
00II,heliport,Bailey Generation Station Heliport,41.64450073,-87.12280273,600,NA,US,US-IN,Chesterton,00II,,00II
00IL,small_airport,Hammer Airport,41.97840118,-89.56040192,840,NA,US,US-IL,Polo,00IL,,00IL
00IN,heliport,St Mary Medical Center Heliport,41.51139832,-87.26059723,634,NA,US,US-IN,Hobart,00IN,,00IN
